docno,title,img_link,description,ingredients,allergens,price
d90,Truffles Classic assorted 36 pcs per box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A delicious selection of 36 excellent truffles for an unforgettable taste experience. The box contains the following truffles (without alcohol): Truffle Milk, Truffle White, Truffle Capuccino, Truffle Caramel, Truffle Dark. (400g) *Christmas packaging subject to availability","sugar, cocoa butter, cocoa paste, whole powder, glucose, butter ( ), humectant (E420), cream ( ), skimmed powder, , emulsifier ( lecithin), coffee, natural flavour, , flavouring, natural flavouring substances, dextrose, cocoa powder. milk milk soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d91,Pralines classic assorted 36 pcs per woodbox,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A fine selection of 36 delicate pralines packed in a beautiful wooden box. The ideal gift. The box contains the following varieties of pralines (without alcohol): Honey-Nougat carré, Almond à l'ancienne, Moccatine, Walnut Marzipan, Le Noir, Almond blond, Piedmontese, Caramel Triangle, Trois Frères, Nut Trio, Nougatine, Walnut Branchli, Mousse Milk, Rigoletto, Pistache-Gianduja, Läderach Square, Nougat-Truffle and Dulce de Leche. (425g)","sugar, cocoa butter, cocoa paste, , whole powder, butter ( ), , glucose, vegetable oils (palm kernel, palm, rapeseed), humectant (E420, E1103), cream ( ), skimmed powder, , , clarified butter ( ), , Chopped , invert sugar syrup, honey, caramel, , emulsifier ( lecithin, sunflower lecithin), fructose, coffee, maltodextrin, glucose syrup, natural flavour, cocoa powder, flavouring, natural flavouring substances, cocoa powder low-fat, white powder, skim , thickening agent (E414), salt (fleur de sel), coating agent (E904), malt, salt, ground vanilla. milk milk almond soya barley",May contain other nuts.,CHF 21.10
d92,Teddy milk Hazelnut-Gianduja,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This little chocolate teddy bear is the perfect gift for Advent. The bear is created from the finest hazelnut gianduja and is covered in the best Swiss milk chocolate produced by Läderach in Switzerland. White and dark chocolate elements add a decorative finishing touch to this adorable bear. Thanks to the hanging ribbon, it would also make a lovely Christmas tree ornament. (18g)","sugar, cocoa butter, cocoa paste, 12%, vegetable oils (palm kernel, palm), whole powder, , skimmed powder, humectant (E420), caramel, emulsifier ( lecithin, sunflower lecithin), natural flavour, natural flavouring substances. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d93,Pralines Classic Assorted 4 pcs per box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A selection of 4 exquisite pralines for an unforgettable taste experience. The box contains the following varieties of pralines (without alcohol): Honey-Nougat carré, Walnut Marzipan, Carré Läderach and Trois Frères. (45g)","sugar, cocoa butter, cocoa paste, , , butter ( ), whole powder, , glucose, , skimmed powder, vegetable oils (palm kernel, palm, rapeseed), humectant (E420), honey, cream ( ), invert sugar syrup, emulsifier ( lecithin, sunflower lecithin), caramel, natural flavour, thickening agent (E414), natural flavouring substances. milk milk soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d94,Fir tree layer-Chocolate Pistachio prepacked,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This chocolate Christmas tree is the ideal gift for Advent. The tree is made of both a melt-in-your-mouth white chocolate with pistachio pieces and a milk chocolate with hazelnut gianduja. Thanks to the hanging ribbon, it would also make a lovely Christmas tree ornament. (19g)","sugar, cocoa butter, cocoa paste, , whole powder, , vegetable fats (palm kernel, coconut, palm), skimmed powder, emulsifier ( lecithin), natural flavour, natural flavouring substances. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d95,Santa Claus Milk 14cm,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This traditional Läderach chocolate Santa Claus will fit perfectly under the Christmas tree! Made from the best Swiss milk chocolate and with a lovely appearance, he will delight young and old alike. (30g)","sugar, cocoa butter, whole powder, cocoa paste, , skimmed powder, emulsifier ( lecithin), natural flavour, natural flavouring substances. soya","May contain egg, gluten (incl. wheat), nuts.",CHF 21.10
d96,Milk Chocolate Bear with Santa Hat,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","The Läderach teddy bear delights in its Advent outfit. Made of the finest Swiss milk chocolate, he is true chocolate bliss. The red Santa hat, made of marzipan, gives this chocolate bear a little Christmas flair. (120g)","sugar, cocoa butter, cocoa paste, whole powder, , skimmed powder, , glucose, humectant (E420, E1103), kirsch, starch, emulsifier ( lecithin), invert sugar syrup, natural flavour, bitter , glucose syrup, natural flavouring substances, maltodextrin, colouring (E120, E100), vegetable oils (coconut, rapeseed), flavouring (w ), coating agent (E901). wheat soya almonds almonds","May contain egg, other nuts.",CHF 21.10
d97,Reindeer Finn dark Chocolate,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","Everyone loves a visit from Finn the Reindeer at Christmas. This charming reindeer with an adorable nose has taken everyone’s heart by storm. Now Läderach is offering a vegan version of this seasonal favourite made of dark chocolate. With its whimsical details lovingly applied by hand, this chocolate reindeer is sure to charm chocolate lovers of all ages. (95 g)","cocoa paste, sugar, cocoa butter, emulsifier ( lecithin), natural flavouring substances. soya","May contain egg, gluten (incl. wheat), milk, nuts.",CHF 21.10
d98,Reindeer Finn Milk Gianduja 9.2cm,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","The little reindeer, Finn, always enchants at Christmas time. With a creamy filling of the finest hazelnut gianduja, he is a true chocolate delight, covered in the best Swiss milk chocolate. (35g)","sugar, cocoa butter, whole powder, cocoa paste, , skimmed powder, , caramel, clarified butter ( ), emulsifier ( lecithin, sunflower lecithin), natural flavour, natural flavouring substances. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d99,Santa Claus Dark Chocolate,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This traditional Läderach chocolate Santa will fit perfectly under your Christmas tree. Our large Santa Claus is made of the finest dark Swiss chocolate and is decorated with white and milk chocolate. With his lovely appearance, our chocolate Santa will win the hearts of young and old alike. (120g)","sugar, cocoa paste, cocoa butter, whole powder, emulsifier ( lecithin), skimmed powder, , natural flavouring substances, natural flavour. soya","May contain egg, gluten (incl. wheat), nuts.",CHF 21.10
d100,FrischSchoggi Sticks Christmasbox max,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']",Sticks of the most popular FrischSchoggi™ varieties are offered in this attractive heart-filled box. Valentine’s Day is the perfect opportunity to give this romantic gift to the one you love. (380g),"sugar, cocoa butter, , whole powder, cocoa paste, , skimmed powder, , , fructose, vegetable oils (rapeseed), blackberry juice, emulsifier ( lecithin, sunflower lecithin), natural flavour, raspberry puree, raspberry juice, flavouring, acidifier (E330), natural flavouring substances, cocoa powder. soya","May contain egg, gluten (incl. wheat), other nuts.",CHF 21.10
d101,Reindeer Finn Milk Chocolate,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","Finn, the reindeer, always enchants at Christmas time. This cute reindeer with the comical nose takes everyone’s heart by storm. He is made of the finest milk chocolate, produced by Läderach in Switzerland. With his hand-decorated details, this chocolate reindeer will delight young and old alike. (95g)","sugar, cocoa butter, whole powder, cocoa paste, , skimmed powder, emulsifier ( lecithin), natural flavour, natural flavouring substances. soya","May contain egg, gluten (incl. wheat), nuts.",CHF 21.10
d102,Pralinés Stars 4pcs box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","A fine selection of four exquisite Christmas pralines from Läderach chocolatier suisse. Let yourself be taken in by these star pralines (without alcohol) this Advent season. They come in the following varieties: Milk Chocolate with butter foam and honey caramel, Grand Cru dark chocolate with truffle filling, milk chocolate with hazelnut gianduja, and milk chocolate with feuilletine and gianduja. (50g)","sugar, cocoa butter, cocoa paste, whole powder, butter ( ), , glucose, vegetable oils (palm kernel, palm), , humectant (E420), , skimmed powder, honey, cream ( ), flour, cocoa beans kernels, caramel, Chopped , emulsifier ( lecithin, sunflower lecithin), vegetable fats (sunflower, rapeseed, palm kernel, palm, coconut), dextrose, clarified butter ( ), natural flavour, natural flavouring substances, protein, salt, raising agent (E500), malt, antioxidant (E306), colouring (E100), cocoa powder, glucose syrup. milk milk wheat almond soya barley","May contain egg, other nuts.",CHF 21.10
d103,Snacking Choco Flakes Milk,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']",This Läderach snacking bag contains delicious Läderach milk chocolate bites sprinkled with crisp corn flakes. Deliciously snackable for when you have a moment to yourself. (110g),"sugar, corn 28%, cocoa butter, whole powder, cocoa paste, , skimmed powder, malt, salt, emulsifier ( lecithin), natural flavour, natural flavouring substances. barley soya","May contain egg, nuts.",CHF 21.10
d104,Pralinés assorted stars dark chocolat 5 pcs box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']",A luxurious selection of five dark chocolate Christmas pralinés created by Läderach chocolatier suisse. The alcohol-free star pralinés are a fabulous indulgence sure to brighten your day. (60g),"cocoa paste, sugar, cocoa butter, glucose, butter ( ), humectant (E420), dried coconut flakes, whole powder, vegetable oils (sunflower, coconut), skimmed powder, emulsifier ( lecithin), , cocoa beans kernels, vegetable fats (shea, illipe), clarified butter ( ), natural flavouring substances, thickening agent (E414), cocoa powder, glucose syrup, natural flavour, colouring (E100). milk soya","May contain egg, gluten (incl. wheat), nuts.",CHF 21.10
d105,Chocolate Snack Milk,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","Discover the creamy milk chocolate couverture from Läderach. The Swiss chocolate is ideal for cooking, baking or simply enjoying. (200g)","sugar, cocoa butter, whole powder, cocoa paste, , skimmed powder, natural flavour, emulsifier ( lecithin), natural flavouring substances. soya","May contain egg, gluten (incl. wheat), nuts.",CHF 21.10
d106,Snacking Rocher Dark,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']",This Läderach snacking bag contains dark chocolate rochers. The roasted and silvered almonds are covered in dark Läderach chocolate. The ideal sweet snack for in between. (100g),"sticks, sugar, cocoa paste, cocoa butter, emulsifier ( lecithin), natural flavouring substances. almond soya","May contain egg, gluten (incl. wheat), milk, other nuts.",CHF 21.10
d107,Fir tree 4pcs per box,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This set of small chocolate fir trees is the ideal gift for Advent. There are four varieties in this set: The pistachio Christmas tree is made of fresh white chocolate and dark chocolate-pistachio gianduja. The tree made of fresh milk chocolate is blended with almond pieces and a milk chocolate-almond gianduja. For the almond Christmas tree, white chocolate-almond gianduja is coated with the finest milk chocolate. Lastly, the citrus fir tree delights with orange nougat and dark chocolate. (75g)","sugar, cocoa butter, , cocoa paste, whole powder, vegetable fats (coconut, palm kernel, palm, sunflower, rapeseed), , skimmed powder, , flour, orange juice, dextrose, emulsifier ( lecithin, sunflower lecithin), natural flavour, natural flavouring substances, clarified butter ( ), glucose syrup, salt, protein, malt, antioxidant (E306), raising agent (E500), colouring (E100). wheat soya barley","May contain egg, other nuts.",CHF 21.10
d108,Snacking Florentine Dark,"['https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092888_Pralin_s_assortiert_32er_Weihnachts_Holzbox_360g_3_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10092577_10097036_10098654_10005057_10098654_FrischSchoggiSchiffligross-01.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10097585_FrischSchoggi_Sticks_Weihnachten_max_380g_1_1.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/0/10007194_Pralin_s_assortiert_Special_Edition_16er_Packung_2.jpg', 'https://laderach.com/media/catalog/product/cache/ab58ae1874a621b7b023cbcffac729e3/1/_/1_10100519_FrischSchoggi_Sticks_Packung_Weihnachten_dunkel_max_1_1.jpg']","This Läderach snacking bag contains dark Florentines. Crispy baked roasted mass with the finest almonds, honey and confit fruits on dark Swiss chocolate. Deliciously snackable for when you have a moment to yourself. (99g)","sugar, cocoa paste, 11%, cream ( ), cocoa butter, glucose, butter ( ), candied orange peel 3% (orange peel, sugar, glucose-fructose syrup, acidifier (E330)), honey, starch, emulsifier ( lecithin), gelling agent (E440), thickening agent (E414), natural flavouring substances. milk milk wheat soya","May contain egg, other nuts.",CHF 21.10
